date,Average temperature,Minimum temperature,Maximum temperature
20160101,57,27,90
20160102,36,25,48
20160103,17,4,27
20160104,-12,-25,16
20160105,-16,-30,-8
20160106,-29,-36,-23
20160107,8,-23,64
20160108,60,37,90
20160109,46,32,60
20160110,54,46,70
20160111,43,30,57
20160112,60,48,75
20160113,50,16,73
20160114,30,7,57
20160115,28,-9,46
20160116,37,9,58
20160117,11,-6,32
20160118,-6,-14,6
20160119,23,-13,54
20160120,26,-27,58
20160121,-3,-20,11
20160122,6,-10,38
20160123,64,28,94
20160124,53,36,75
20160125,68,42,83
20160126,69,32,87
20160127,88,74,100
20160128,65,51,79
20160129,86,67,95
20160130,63,20,88
20160131,58,34,70
