Country,GrossDomesticProduct,Population,Continent,Total
Belgium,46760.34655,11.22728,Europe,528158.6136
Czech Republic,35127.44029,10.52478,Europe,371131.3828
Finland,43363.48175,5.472,Europe,238295.3413
France,41489.89783,64.06225,Europe,2773931.589
Germany,48989.49173,80.896,Europe,4041192.163
Hungary,27007.63449,9.863,Europe,265053.5461
Ireland,72772.02423,4.6099,Europe,340821.5898
Italy,38328.09734,60.44791,Europe,2323736.722
Norway,59349.98037,5.137,Europe,310756.4972
Poland,27574.63528,38.484,Europe,1059610.51
Spain,36443.18554,46.46405,Europe,1693445.663
United Kingdom,43123.84948,63.65001,Europe,2827717.058
Slovakia,33424.74062,2.061623,Europe,69009.7222
