Country,Quality,Purchasing,Safety,Health,Livingcost
Denmark,180.14,98.67,78.50,76.17,93.2
Finland,179.40,101.93,76.81,74.61,81.23
Germany,178.92,107.90,67.36,75.99,73.18
Austria,178.53,87.11,80.87,79.47,78.98
Netherlands,177.80,94.23,71.11,82.22,79.61
Switzerland,172.86,114.60,78.44,71.74,138.16
Slovenia,166.10,68.72,75.29,65.15,58.32
Spain,165.67,78.18,69.96,76.34,60.64
Sweden,159.90,94.77,50.65,70.56,83.32
Portugal,159.59,55.75,65.09,69.73,54.63
Norway,158.85,92.20,55.01,74.96,112.75
United Kingdom,156.80,92.50,58.99,74.26,76.02
Croatia,155.14,53.71,71.86,65.05,53.98
France,154.43,89.37,55.22,78.40,81.16
Czech Republic,153.71,65.78,70.83,75.48,47.67
Ireland,152.11,87.26,55.24,53.12,84.88
Belgium,147.51,80.41,57.69,79.85,82.24
Slovakia,144.55,57.89,69.48,63.20,49.45
Poland,141.30,64.79,69.81,62.33,43.50
Lithuania,138.36,48.45,60.94,66.33,51.93
Romania,138.19,57.40,71.47,53.84,38.71
Italy,132.59,68.09,55.41,66.69,77.36
Greece,131.10,49.65,60.59,54.64,61.29
Hungary,125.82,41.48,61.84,52.29,47.19
Bulgaria,122.85,46.62,59.99,52.72,40.24
Serbia,116.42,36.10,61.20,53.12,37.42
Russia,91.73,45.20,54.30,56.13,44.48
Ukraine,87.63,25.20,49.57,49.34,29.21
